Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,450,19.0,9.0,9.0,10.1,1.1,2,14.0,60.0,192.0,23.0,5724.5,41.0,1371.7,76.0,4.0,6.0,126.0,1
Kiril Fesiun,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,23,270,7.0,3.0,4.0,2.8,-0.2,1,8.0,15.0,128.0,7.0,3059.8,9.0,158.0,32.0,1.0,15.0,383.2,1
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,540,29.0,15.0,14.0,12.4,-2.6,1,18.0,65.0,120.0,15.0,4396.3,38.0,1753.8,97.0,6.0,4.0,51.6,1
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,23,450,21.0,13.0,8.0,8.5,-4.5,1,25.0,104.0,112.0,21.0,5698.9,24.0,1515.3,54.0,11.0,14.0,280.1,1
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,9.0,6.0,3.0,3.4,-2.6,0,6.0,20.0,36.0,8.0,1096.0,11.0,600.2,22.0,0.0,0.0,0.0,1
Lasse Rieß,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,24,359,27.0,13.0,14.0,9.9,-3.1,1,14.0,53.0,106.0,10.0,3891.1,22.0,837.3,29.0,1.0,6.0,122.1,1
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,990,47.0,16.0,31.0,17.1,1.1,1,61.0,169.0,303.0,33.0,11260.5,61.0,2808.9,150.0,7.0,5.0,59.3,1
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,1350,62.0,22.0,41.0,16.9,-5.1,3,99.0,316.0,342.0,51.0,15319.9,111.0,6653.0,229.0,14.0,8.0,141.2,1
Lucas Bergström,FIN,Mallorca,Spanish La Liga,GK,Goalkeeper,23,450,22.0,7.0,15.0,6.6,-0.4,2,43.0,104.0,131.0,23.0,5561.6,37.0,2269.0,106.0,3.0,14.0,222.2,1
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,24,1710,54.0,20.0,33.0,18.4,-1.6,8,28.0,81.0,472.0,68.0,11747.9,67.0,2671.1,132.0,6.0,16.0,319.7,1
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,28,990,47.0,22.0,25.0,19.4,-2.6,2,58.0,239.0,363.0,48.0,14906.0,61.0,3595.1,152.0,6.0,3.0,48.9,1
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1530,56.0,18.0,37.0,19.7,1.7,7,26.0,107.0,345.0,83.0,9960.2,60.0,1839.4,197.0,22.0,33.0,567.0,1
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,540,25.0,5.0,19.0,6.5,1.5,4,19.0,71.0,220.0,26.0,6776.8,19.0,741.0,79.0,3.0,10.0,188.2,1
Lukáš Hrádecký,FIN,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,36,798,37.0,12.0,26.0,13.0,1.0,2,28.0,90.0,210.0,25.0,6878.5,47.0,1827.0,116.0,5.0,10.0,200.2,1
Lukáš Zima,CZE,FCSB,UEFA Europa League,GK,Goalkeeper,31,165,13.0,4.0,9.0,5.0,1.0,0,6.0,21.0,39.0,14.0,1295.4,11.0,493.2,26.0,0.0,0.0,0.0,1
Mads Hermansen,DEN,West Ham,English Premier League,GK,Goalkeeper,25,360,20.0,11.0,9.0,9.2,-1.8,1,19.0,72.0,141.0,19.0,4778.9,16.0,981.1,72.0,5.0,1.0,10.4,1
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,26,810,34.0,13.0,20.0,12.0,-1.0,3,67.0,168.0,288.0,20.0,10485.0,43.0,2507.6,122.0,7.0,15.0,261.6,1
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,39,1620,48.0,18.0,31.0,15.4,-2.6,6,78.0,201.0,660.0,80.0,20399.9,77.0,2594.2,173.0,9.0,58.0,1411.4,1
Marco Bizot,NED,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,34,630,35.0,9.0,27.0,9.3,0.3,3,29.0,83.0,265.0,30.0,7595.9,33.0,1460.7,109.0,7.0,17.0,332.3,1
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,1890,91.0,24.0,66.0,24.4,0.4,6,121.0,311.0,704.0,99.0,23067.6,112.0,6096.3,247.0,15.0,39.0,730.7,1
Marco Silvestri,ITA,Cremonese,Italian Serie A,GK,Goalkeeper,34,360,22.0,7.0,15.0,7.4,0.4,0,20.0,71.0,112.0,17.0,4111.8,44.0,1913.6,71.0,2.0,3.0,51.4,1
Marin Ljubić,CRO,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,28,180,10.0,7.0,3.0,5.2,-1.8,0,3.0,16.0,45.0,6.0,1427.0,14.0,593.8,23.0,1.0,3.0,55.6,1
Mark Flekken,NED,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,32,1800,95.0,31.0,65.0,29.7,-1.3,6,62.0,199.0,612.0,82.0,18122.1,111.0,4987.4,260.0,7.0,20.0,365.3,1
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,1440,65.0,16.0,49.0,16.4,0.4,7,80.0,263.0,396.0,62.0,16376.7,86.0,4305.0,227.0,19.0,15.0,265.3,1
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,1440,87.0,33.0,57.0,32.4,-0.6,2,104.0,347.0,418.0,70.0,14911.9,172.0,10813.2,298.0,11.0,6.0,70.7,1
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,27,360,15.0,2.0,13.0,5.3,3.3,2,19.0,69.0,99.0,16.0,4050.8,23.0,1317.1,55.0,2.0,0.0,0.0,1
Martin Zlomislić,BIH,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,27,360,10.0,2.0,7.0,2.9,0.9,2,15.0,46.0,118.0,22.0,3679.0,14.0,788.4,34.0,4.0,1.0,11.0,1
Marvin Keller,SUI,Young Boys,UEFA Europa League,GK,Goalkeeper,23,540,32.0,12.0,20.0,9.2,-2.8,2,26.0,80.0,202.0,20.0,6206.0,53.0,2101.5,66.0,0.0,8.0,148.2,1
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,1260,67.0,23.0,43.0,22.6,-0.4,2,138.0,341.0,576.0,39.0,20832.5,126.0,7374.3,243.0,6.0,13.0,244.2,1
Marwin Hitz,SUI,Basel,UEFA Europa League,GK,Goalkeeper,38,450,31.0,7.0,23.0,8.7,1.7,1,20.0,47.0,141.0,20.0,4589.4,18.0,634.2,56.0,6.0,3.0,51.5,1
Massimo Pessina,ITA,Bologna,Italian Serie A,GK,Goalkeeper,17,83,1.0,0.0,1.0,0.1,0.1,1,7.0,16.0,31.0,3.0,1171.8,1.0,71.0,10.0,2.0,1.0,11.5,1
Matej Kovar,CZE,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,25,540,35.0,11.0,24.0,11.4,0.4,0,34.0,100.0,230.0,34.0,8023.4,29.0,1354.1,85.0,5.0,3.0,50.9,1
Mateusz Kochalski,POL,Qarabağ,UEFA Champions League,GK,Goalkeeper,25,540,32.0,13.0,19.0,11.4,-1.6,1,27.0,98.0,168.0,14.0,5854.9,58.0,3028.9,87.0,1.0,7.0,139.9,1
Matheus,BRA,Red Star,UEFA Europa League,GK,Goalkeeper,33,540,20.0,5.0,15.0,7.2,2.2,3,39.0,97.0,188.0,21.0,6223.8,40.0,1568.5,88.0,7.0,8.0,125.4,1
Mathew Ryan,AUS,Levante,Spanish La Liga,GK,Goalkeeper,33,1170,67.0,23.0,45.0,22.3,-0.7,2,75.0,189.0,338.0,62.0,11888.2,108.0,5159.7,213.0,14.0,14.0,240.8,1
Mathias Dyngeland,NOR,Brann,UEFA Europa League,GK,Goalkeeper,30,540,27.0,7.0,20.0,9.6,2.6,3,39.0,121.0,285.0,16.0,9559.1,25.0,1153.1,113.0,4.0,11.0,182.5,1
Matteo Bignetti,AUT,Sturm Graz,UEFA Europa League,GK,Goalkeeper,21,90,6.0,2.0,4.0,2.6,0.6,0,3.0,17.0,25.0,2.0,910.0,12.0,519.6,18.0,0.0,1.0,10.0,1
Mattia Perin,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,33,360,18.0,6.0,12.0,5.1,-0.9,0,11.0,23.0,75.0,14.0,2388.2,18.0,565.8,34.0,1.0,1.0,36.0,1
Matvei Safonov,RUS,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,26,270,8.0,2.0,6.0,2.0,0.0,2,9.0,22.0,89.0,15.0,2301.7,7.0,333.0,36.0,2.0,6.0,97.4,1
Matz Sels,BEL,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1620,80.0,30.0,51.0,26.8,-3.2,3,78.0,255.0,428.0,64.0,16447.4,103.0,3941.2,242.0,6.0,19.0,385.7,1
Matías Dituro,ARG,Elche,Spanish La Liga,GK,Goalkeeper,38,540,21.0,6.0,15.0,5.9,-0.1,1,54.0,123.0,341.0,20.0,10583.2,28.0,1349.0,72.0,9.0,22.0,410.1,1
Maxime Dupé,FRA,Nice,UEFA Europa League,GK,Goalkeeper,32,90,4.0,1.0,3.0,1.7,0.7,0,5.0,16.0,40.0,0.0,1264.0,3.0,96.0,6.0,0.0,0.0,0.0,1
Melker Ellborg,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,22,270,19.0,5.0,13.0,7.1,2.1,0,5.0,50.0,77.0,13.0,2763.2,29.0,1359.4,69.0,2.0,1.0,27.0,1
Melvin Zinga,FRA,Angers,French Ligue 1,GK,Goalkeeper,23,90,6.0,2.0,4.0,2.0,0.0,0,4.0,13.0,25.0,5.0,800.0,11.0,407.0,20.0,1.0,0.0,0.0,1
Michael Brouwer,NED,Utrecht,UEFA Europa League,GK,Goalkeeper,32,112,10.0,2.0,8.0,2.5,0.5,1,10.0,25.0,31.0,4.0,1245.3,7.0,338.2,21.0,0.0,1.0,16.2,1
Michael Zetterer,GER,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,30,1350,72.0,27.0,45.0,21.8,-5.2,4,78.0,233.0,579.0,101.0,19342.3,73.0,3086.2,202.0,11.0,15.0,229.7,1
Michele Di Gregorio,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,1530,57.0,18.0,39.0,17.6,-0.4,6,51.0,131.0,461.0,78.0,13915.6,62.0,2358.6,210.0,20.0,10.0,202.1,1
Mike Maignan,FRA,Milan,Italian Serie A,GK,Goalkeeper,30,1225,48.0,13.0,33.0,16.9,3.9,5,40.0,142.0,429.0,58.0,13913.1,53.0,2462.7,228.0,19.0,9.0,173.9,1
Mike Penders,BEL,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,20,1800,76.0,24.0,52.0,25.4,1.4,7,64.0,163.0,946.0,51.0,22846.0,61.0,2613.5,266.0,20.0,18.0,277.6,1
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,1800,69.0,13.0,56.0,17.4,4.4,8,89.0,262.0,638.0,120.0,21345.7,126.0,5721.1,193.0,18.0,17.0,296.7,1
Mio Backhaus,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,21,1080,69.0,24.0,46.0,23.9,-0.1,2,23.0,77.0,381.0,75.0,10318.3,47.0,1938.0,195.0,19.0,12.0,188.3,1
Mirko Salvi,SUI,Basel,UEFA Europa League,GK,Goalkeeper,31,90,5.0,2.0,3.0,1.7,-0.3,0,1.0,3.0,20.0,4.0,572.0,2.0,66.0,13.0,0.0,2.0,63.0,1
Miłosz Piekutowski,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,19,180,9.0,2.0,7.0,2.9,0.9,0,6.0,17.0,57.0,7.0,1462.1,11.0,407.8,33.0,2.0,2.0,25.4,1
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,28,1260,67.0,22.0,45.0,22.1,0.1,6,83.0,169.0,408.0,59.0,12677.7,52.0,2720.5,210.0,11.0,15.0,278.5,1
Mory Diaw,SEN,Le Havre,French Ligue 1,GK,Goalkeeper,32,1440,61.0,22.0,39.0,18.0,-4.0,5,84.0,212.0,495.0,80.0,15951.3,111.0,4125.6,249.0,29.0,20.0,290.2,1
Nauzet García,ESP,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,31,90,10.0,5.0,5.0,4.1,-0.9,0,5.0,14.0,29.0,2.0,1070.1,4.0,140.0,17.0,1.0,2.0,29.6,1
Neofytos Michael,CYP,Pafos FC,UEFA Champions League,GK,Goalkeeper,31,540,36.0,9.0,27.0,9.7,0.7,3,25.0,102.0,183.0,29.0,6176.7,62.0,3225.0,120.0,3.0,3.0,51.0,1
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1516,76.0,17.0,60.0,18.6,1.6,8,50.0,185.0,382.0,127.0,12385.0,111.0,5369.0,217.0,27.0,45.0,851.9,1
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,32,1350,64.0,23.0,42.0,21.4,-1.6,2,61.0,190.0,348.0,41.0,12661.2,66.0,2951.0,192.0,10.0,14.0,299.9,1
Nikita Haikin,RUS,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,30,540,50.0,13.0,38.0,17.1,4.1,0,26.0,85.0,203.0,29.0,6833.8,24.0,1189.3,104.0,8.0,3.0,59.6,1
Niklas Hedl,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,24,270,16.0,8.0,7.0,6.6,-1.4,0,9.0,26.0,47.0,6.0,1569.2,17.0,864.1,24.0,1.0,7.0,167.3,1
Nikola Vasilj,BIH,St. Pauli,German Bundesliga,GK,Goalkeeper,30,1260,78.0,26.0,50.0,29.9,3.9,1,38.0,151.0,503.0,57.0,15264.7,22.0,903.0,140.0,12.0,13.0,206.7,1
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,23,1800,77.0,26.0,50.0,25.7,-0.3,7,143.0,412.0,810.0,66.0,29278.5,100.0,5884.2,243.0,12.0,30.0,588.7,1
Nordin Jackers,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,28,432,32.0,13.0,20.0,9.2,-3.8,0,30.0,89.0,175.0,20.0,6323.9,22.0,1137.0,62.0,4.0,3.0,48.9,1
Obed Nkambadio,FRA,Paris FC,French Ligue 1,GK,Goalkeeper,22,990,43.0,20.0,22.0,15.8,-4.2,1,29.0,110.0,416.0,49.0,11791.5,71.0,1980.6,147.0,4.0,12.0,192.0,1
Odysseas Vlachodimos,GRE,Sevilla,Spanish La Liga,GK,Goalkeeper,31,1080,55.0,17.0,38.0,18.5,1.5,3,61.0,180.0,361.0,59.0,12476.5,74.0,3547.1,162.0,4.0,7.0,91.5,1
Okan Kocuk,TUR,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,30,450,10.0,4.0,6.0,3.7,-0.3,3,19.0,47.0,120.0,24.0,3463.8,37.0,1404.5,62.0,4.0,1.0,15.0,1
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,35,1260,59.0,20.0,39.0,19.1,-0.9,2,62.0,199.0,506.0,48.0,16718.4,53.0,2209.1,216.0,11.0,42.0,823.7,1
Oliver Christensen,DEN,Sturm Graz,UEFA Europa League,GK,Goalkeeper,26,450,22.0,6.0,16.0,6.7,0.7,1,11.0,51.0,127.0,17.0,4233.7,22.0,791.7,79.0,0.0,4.0,77.6,1
Oliwier Zych,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,21,270,15.0,1.0,14.0,3.1,2.1,2,12.0,52.0,88.0,9.0,3183.5,20.0,1162.0,37.0,3.0,1.0,15.0,1
Pablo Cuñat,ESP,Levante,Spanish La Liga,GK,Goalkeeper,23,180,14.0,5.0,10.0,4.7,-0.3,0,11.0,37.0,45.0,14.0,1878.9,26.0,1250.8,46.0,2.0,1.0,9.9,1
Pape Mamadou Sy,SEN,Metz,French Ligue 1,GK,Goalkeeper,28,76,8.0,4.0,4.0,2.9,-1.1,0,6.0,19.0,21.0,2.0,867.3,8.0,447.2,10.0,1.0,1.0,17.0,1
Patrik Carlgren,SWE,Nantes,French Ligue 1,GK,Goalkeeper,33,92,5.0,2.0,3.0,0.7,-1.3,0,2.0,19.0,29.0,8.0,1199.0,9.0,403.8,39.0,1.0,0.0,0.0,1
Pau López,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,30,720,31.0,9.0,21.0,9.0,0.0,2,28.0,77.0,198.0,32.0,6195.8,51.0,2352.4,109.0,4.0,6.0,132.9,1
Paul Gartler,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,28,180,13.0,5.0,8.0,4.3,-0.7,0,11.0,42.0,48.0,4.0,2081.7,18.0,985.5,24.0,1.0,6.0,146.8,1
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,33,1302,79.0,24.0,55.0,26.2,2.2,2,51.0,199.0,489.0,66.0,15904.8,68.0,3682.6,233.0,8.0,17.0,298.3,1
Pavlo Isenko,UKR,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,22,450,19.0,5.0,14.0,5.1,0.1,2,17.0,47.0,112.0,19.0,3590.4,40.0,1263.8,87.0,2.0,3.0,65.6,1
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,27,360,11.0,2.0,9.0,2.1,0.1,2,15.0,39.0,164.0,18.0,4662.3,8.0,361.1,26.0,0.0,6.0,132.7,1
Philipp Köhn,SUI,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,27,1182,60.0,23.0,38.0,21.2,-1.8,4,34.0,88.0,302.0,59.0,8487.8,66.0,2129.0,160.0,12.0,25.0,442.8,1
Pietro Terracciano,ITA,Milan,Italian Serie A,GK,Goalkeeper,35,125,4.0,0.0,4.0,0.2,0.2,2,7.0,9.0,30.0,5.0,919.2,6.0,260.0,19.0,1.0,0.0,0.0,1
Péter Gulácsi,HUN,RB Leipzig,German Bundesliga,GK,Goalkeeper,35,1260,48.0,16.0,32.0,15.7,-0.3,7,34.0,110.0,422.0,59.0,12202.2,78.0,2962.0,192.0,11.0,20.0,355.0,1
Radosław Majecki,POL,Brest,French Ligue 1,GK,Goalkeeper,25,864,41.0,15.0,26.0,11.2,-5.1,3,69.0,147.0,279.0,42.0,10055.9,61.0,3133.3,145.0,9.0,5.0,69.3,1
Razvan Sava,ROU,Udinese,Italian Serie A,GK,Goalkeeper,23,540,21.0,9.0,12.0,6.9,-2.1,1,14.0,48.0,141.0,20.0,4172.9,31.0,1153.6,71.0,1.0,6.0,129.8,1
Remko Pasveer,NED,Ajax,UEFA Champions League,GK,Goalkeeper,41,180,18.0,8.0,10.0,7.7,-0.3,0,10.0,41.0,85.0,12.0,3153.5,13.0,539.5,33.0,1.0,0.0,0.0,1
Robert Sánchez,ESP,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,1804,61.0,20.0,42.0,21.1,0.9,10,101.0,308.0,762.0,87.0,25029.0,83.0,4451.8,206.0,31.0,20.0,347.2,1
Robin Olsen,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,35,270,25.0,7.0,18.0,7.7,0.7,0,13.0,36.0,68.0,12.0,2556.2,22.0,747.2,45.0,0.0,2.0,31.0,1
Robin Risser,FRA,Lens,French Ligue 1,GK,Goalkeeper,21,1440,59.0,13.0,44.0,17.4,4.4,5,52.0,149.0,428.0,63.0,13595.5,75.0,2986.5,213.0,9.0,9.0,176.1,1
Robin Roefs,NED,Sunderland,English Premier League,GK,Goalkeeper,22,1440,70.0,17.0,53.0,19.0,2.0,5,80.0,311.0,579.0,59.0,21061.2,97.0,6209.9,284.0,32.0,21.0,375.7,1
Robin Zentner,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,31,1079,43.0,12.0,32.0,10.6,-1.4,2,88.0,277.0,380.0,26.0,16591.4,73.0,3908.8,133.0,10.0,17.0,290.9,1
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,33,540,36.0,18.0,18.0,16.1,-1.9,1,24.0,53.0,212.0,19.0,6001.0,14.0,396.2,85.0,5.0,3.0,41.6,1
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,21,450,21.0,7.0,13.0,7.6,0.6,3,16.0,57.0,128.0,18.0,4031.4,21.0,1360.4,56.0,8.0,7.0,123.2,1
Rui Silva,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,31,450,25.0,7.0,18.0,6.9,-0.1,1,15.0,38.0,143.0,22.0,3719.7,26.0,836.0,55.0,4.0,3.0,51.9,1
Ruslan Neshcheret,UKR,Dynamo Kyiv,UEFA Europa Conference League,GK,Goalkeeper,23,450,28.0,9.0,19.0,8.9,-0.1,1,23.0,56.0,206.0,26.0,6003.5,28.0,1089.4,56.0,3.0,5.0,68.6,1
Rémy Descamps,FRA,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,29,540,15.0,4.0,12.0,5.4,1.4,4,9.0,34.0,184.0,22.0,4904.4,19.0,581.0,70.0,2.0,5.0,87.2,1
Sam Johnstone,ENG,Wolves,English Premier League,GK,Goalkeeper,32,1080,59.0,24.0,39.0,18.7,-5.3,0,111.0,301.0,390.0,54.0,16355.3,100.0,5483.8,212.0,9.0,19.0,322.3,1
Senne Lammens,BEL,Manchester Utd,English Premier League,GK,Goalkeeper,23,810,29.0,11.0,18.0,12.3,1.3,1,58.0,194.0,270.0,16.0,10984.1,63.0,3609.8,147.0,7.0,11.0,246.2,1
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,32,1440,80.0,20.0,60.0,23.9,3.9,4,100.0,228.0,384.0,75.0,12784.6,140.0,6388.0,230.0,10.0,41.0,928.7,1
Sergio Padt,NED,Ludogorets,UEFA Europa League,GK,Goalkeeper,35,270,14.0,6.0,9.0,4.6,-1.4,0,12.0,42.0,96.0,8.0,3281.2,10.0,365.9,45.0,3.0,3.0,44.9,1
Sherhan Kalmurza,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,18,180,20.0,9.0,10.0,7.9,-1.1,0,9.0,28.0,41.0,10.0,1428.6,21.0,1020.1,24.0,2.0,2.0,30.0,1
Simon Mignolet,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,37,18,1.0,0.0,0.0,0.7,0.0,0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
Simone Scuffet,ITA,Pisa,Italian Serie A,GK,Goalkeeper,29,180,5.0,3.0,2.0,2.1,-0.9,0,17.0,28.0,70.0,11.0,2281.0,9.0,359.1,22.0,2.0,0.0,0.0,1
Stefan Târnovanu,ROU,FCSB,UEFA Europa League,GK,Goalkeeper,25,371,29.0,7.0,22.0,8.5,0.8,1,26.0,67.0,99.0,21.0,3715.5,34.0,1794.1,72.0,5.0,2.0,23.3,1
Stefano Turati,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,23,90,4.0,2.0,2.0,1.2,-0.8,0,0.0,16.0,23.0,4.0,936.1,3.0,201.9,9.0,1.0,1.0,10.0,1
Sławomir Abramowicz,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,21,270,6.0,2.0,4.0,2.1,0.1,2,3.0,12.0,49.0,8.0,1339.1,13.0,386.1,42.0,1.0,0.0,0.0,1
Temirlan Anarbekov,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,22,360,30.0,6.0,24.0,10.5,4.5,1,12.0,43.0,94.0,21.0,3378.3,17.0,675.5,77.0,2.0,5.0,123.2,1
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,33,1980,82.0,20.0,62.0,20.8,0.8,9,66.0,209.0,654.0,101.0,20252.8,91.0,3803.0,223.0,13.0,40.0,834.9,1
Thomas Strakosha,ALB,AEK Athens,UEFA Europa Conference League,GK,Goalkeeper,30,450,18.0,5.0,14.0,6.5,1.5,2,20.0,47.0,112.0,18.0,3654.5,30.0,1010.1,62.0,5.0,4.0,76.5,1
Théo De Percin,MTQ,Auxerre,French Ligue 1,GK,Goalkeeper,24,226,11.0,4.0,7.0,2.8,-1.2,0,16.0,52.0,73.0,6.0,3097.7,12.0,725.8,41.0,3.0,4.0,74.1,1
Timon Wellenreuther,GER,Feyenoord,UEFA Europa League,GK,Goalkeeper,30,540,24.0,13.0,11.0,11.0,-2.0,0,33.0,78.0,199.0,25.0,6696.1,13.0,445.0,58.0,4.0,12.0,232.8,1
Timothy Fayulu,NAN,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,26,450,12.0,5.0,7.0,4.5,-0.5,1,15.0,46.0,174.0,15.0,5204.1,32.0,1010.0,56.0,3.0,10.0,147.1,1
Tommaso Martinelli,ITA,Fiorentina,UEFA Europa Conference League,GK,Goalkeeper,19,90,4.0,2.0,2.0,1.4,-0.6,0,2.0,7.0,32.0,8.0,768.0,1.0,14.0,13.0,0.0,0.0,0.0,1
Unai Simón,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,28,2070,93.0,31.0,63.0,29.7,-1.3,7,102.0,375.0,668.0,96.0,24196.5,114.0,6844.7,237.0,24.0,61.0,1406.3,1
Uğurcan Çakır,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,29,517,21.0,7.0,15.0,6.9,-1.7,2,38.0,101.0,217.0,22.0,8156.6,24.0,1070.1,71.0,2.0,7.0,145.4,1
Vanja Milinković-Savić,SRB,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,1530,60.0,20.0,39.0,19.4,-0.6,5,90.0,276.0,613.0,57.0,21045.7,111.0,5636.8,182.0,12.0,22.0,403.7,1
Vasilios Barkas,GRE,Utrecht,UEFA Europa League,GK,Goalkeeper,31,425,28.0,7.0,21.0,6.9,-0.1,0,27.0,71.0,130.0,12.0,4374.7,37.0,1730.5,51.0,2.0,5.0,79.4,1
Vitezslav Jaros,CZE,Ajax,UEFA Champions League,GK,Goalkeeper,24,360,20.0,10.0,10.0,6.3,-3.7,0,10.0,35.0,161.0,18.0,4368.4,17.0,669.3,29.0,1.0,4.0,90.9,1
Walter Benítez,ARG,Crystal Palace,UEFA Europa Conference League,GK,Goalkeeper,32,90,1.0,0.0,1.0,0.4,0.4,1,3.0,6.0,25.0,3.0,690.0,5.0,85.0,7.0,1.0,1.0,12.4,1
Wessel Speel,NED,Shelbourne FC,UEFA Europa Conference League,GK,Goalkeeper,24,540,29.0,8.0,23.0,6.8,-1.2,1,51.0,136.0,130.0,14.0,5738.7,70.0,3992.5,77.0,3.0,0.0,0.0,1
