Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.3,Penalty Kicks.4,Unnamed: 26_level_0,Unnamed: 0_level_0.1,Unnamed: 1_level_0.1,Unnamed: 2_level_0.1,Unnamed: 3_level_0.1,Unnamed: 4_level_0.1,Unnamed: 5_level_0.1,Unnamed: 6_level_0.1,Unnamed: 7_level_0,Goals,Goals.1,Goals.2,Goals.3,Goals.4,Expected,Expected.1,Expected.2,Expected.3,Launched,Launched.1,Launched.2,Passes,Passes.1,Passes.2,Passes.3,Goal Kicks,Goal Kicks.1,Goal Kicks.2,Crosses,Crosses.1,Crosses.2,Sweeper,Sweeper.1,Sweeper.2,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Arnaud Bodart,be BEL,GK,Standard Liège,25,1998,29,29,2610,29.0,35,1.21,134,98,77.6,8,10,11,5,17.2,6,5,1,0,16.7,Matches,1,Arnaud Bodart,be BEL,GK,Standard Liège,25,1998,29.0,35,5,0,4,0,35.3,0.23,+0.3,+0.01,113,402,28.1,725,131,42.3,36.9,224,42.4,37.4,415,29,7.0,17,0.59,11.5,Matches
2,Sinan Bolat,tr TUR,GK,Westerlo,34,1988,26,26,2340,26.0,44,1.69,132,89,68.9,7,9,10,5,19.2,3,3,0,0,0.0,Matches,2,Sinan Bolat,tr TUR,GK,Westerlo,34,1988,26.0,44,3,1,6,1,41.9,0.30,-1.1,-0.04,108,323,33.4,798,106,32.7,33.0,184,33.7,34.0,355,20,5.6,17,0.65,12.6,Matches
3,Jean Butez,fr FRA,GK,Antwerp,28,1995,30,30,2700,30.0,27,0.90,97,71,77.3,14,10,6,12,40.0,5,5,0,0,0.0,Matches,3,Jean Butez,fr FRA,GK,Antwerp,28,1995,30.0,27,5,0,3,1,28.3,0.25,+2.3,+0.08,173,459,37.7,1276,152,31.4,32.5,131,44.3,39.2,340,36,10.6,45,1.50,15.8,Matches
4,Valentin Cojocaru,ro ROU,GK,OH Leuven,27,1995,3,3,270,3.0,8,2.67,15,7,73.3,0,1,2,0,0.0,4,4,0,0,0.0,Matches,4,Valentin Cojocaru,ro ROU,GK,OH Leuven,27,1995,3.0,8,4,0,0,0,8.2,0.29,+0.2,+0.08,14,19,73.7,80,18,20.0,28.7,19,15.8,27.3,31,2,6.5,2,0.67,18.1,Matches
5,Jo Coppens,be BEL,GK,Sint-Truiden,32,1990,4,4,360,4.0,8,2.00,14,6,42.9,1,1,2,0,0.0,0,0,0,0,,Matches,5,Jo Coppens,be BEL,GK,Sint-Truiden,32,1990,4.0,8,0,0,1,0,5.6,0.40,-2.4,-0.59,9,37,24.3,185,19,18.4,25.2,14,21.4,31.9,54,4,7.4,3,0.75,12.5,Matches
6,Gaëtan Coucke,be BEL,GK,Mechelen,24,1998,30,30,2700,30.0,34,1.13,124,90,73.4,13,6,11,10,33.3,4,1,1,2,50.0,Matches,6,Gaëtan Coucke,be BEL,GK,Mechelen,24,1998,30.0,34,1,1,1,1,40.9,0.32,+7.9,+0.26,182,428,42.5,841,104,32.7,32.3,252,60.7,42.7,463,32,6.9,21,0.70,11.9,Matches
7,Théo Defourny,be BEL,GK,RWDM,31,1992,30,30,2679,29.8,66,2.22,178,110,69.7,5,8,17,4,13.3,15,12,3,0,20.0,Matches,7,Théo Defourny,be BEL,GK,RWDM,31,1992,29.8,66,12,1,13,1,68.0,0.31,+3.0,+0.10,196,486,40.3,659,89,52.4,39.5,229,61.6,43.3,514,11,2.1,10,0.34,9.9,Matches
8,Martin Delavallée,be BEL,GK,Charleroi,19,2004,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,8,Martin Delavallée,be BEL,GK,Charleroi,19,2004,0.0,0,0,0,0,0,0.0,,0.0,0.00,3,3,100.0,1,0,100.0,44.0,2,100.0,48.0,1,0,0.0,0,0.00,,Matches
9,Maxime Dupé,fr FRA,GK,Anderlecht,30,1993,7,7,630,7.0,7,1.00,24,17,79.2,4,2,1,2,28.6,2,2,0,0,0.0,Matches,9,Maxime Dupé,fr FRA,GK,Anderlecht,30,1993,7.0,7,2,0,0,0,7.0,0.21,0.0,0.00,21,62,33.9,232,18,23.3,28.5,36,22.2,27.6,101,6,5.9,7,1.00,14.4,Matches
